id,local_id,nameWithOwner,url,createdAt,stars,releases,age
MDEwOlJlcG9zaXRvcnkxOTI4OTExMjY=,ba39f06c-3305-46ae-bc3a-1ca7ea70bfd4,xuyulong2017/my-java-demo,https://github.com/xuyulong2017/my-java-demo,2019-06-20T09:30:12Z,237,0,4.249315068493151
MDEwOlJlcG9zaXRvcnkxMzM5ODI3NQ==,9aeee767-2ac2-4d78-8adb-70a64d6799f0,tyczj/MapNavigator,https://github.com/tyczj/MapNavigator,2013-10-07T23:10:03Z,236,0,9.95068493150685
MDEwOlJlcG9zaXRvcnk4NTk3NTM0MQ==,41c455d7-f6dc-49b7-b5ac-2c53721b128e,linchaolong/ImagePicker,https://github.com/linchaolong/ImagePicker,2017-03-23T17:00:47Z,236,0,6.493150684931507
MDEwOlJlcG9zaXRvcnk3MzAzNzMzMQ==,bf7d9d89-a350-401d-9b34-ced8dcba491a,easybest/spring-data-mybatis,https://github.com/easybest/spring-data-mybatis,2016-11-07T03:01:48Z,236,11,6.865753424657535
MDEwOlJlcG9zaXRvcnkxNDkwODc3Nw==,11f80615-6528-4b45-a719-0cdb6bfd95bc,googlearchive/drive-android-quickstart,https://github.com/googlearchive/drive-android-quickstart,2013-12-03T23:25:28Z,235,0,9.794520547945206
MDEwOlJlcG9zaXRvcnk2NzkxMzc5Nw==,406d36b2-d275-4f6d-b098-98e1e1796f11,haoch/flink-siddhi,https://github.com/haoch/flink-siddhi,2016-09-11T06:19:09Z,235,2,7.021917808219178
MDEwOlJlcG9zaXRvcnk4NDQxNDY0OQ==,fe32131c-f2b8-490e-b1da-46da77e0db00,caikaidev/AppUpdate,https://github.com/caikaidev/AppUpdate,2017-03-09T08:00:48Z,235,17,6.531506849315068
MDEwOlJlcG9zaXRvcnk2MTcyMDcxNg==,cd88c976-16b2-4153-9839-bc7c8e4369bc,SpikeKing/BottomDialogDemo,https://github.com/SpikeKing/BottomDialogDemo,2016-06-22T13:19:48Z,235,0,7.243835616438356
MDEwOlJlcG9zaXRvcnk2MzUxODg5Mg==,976cfe72-3949-4a0e-85ad-462224abcac2,miomin/SHSwipeRefreshLayout,https://github.com/miomin/SHSwipeRefreshLayout,2016-07-17T06:56:00Z,235,2,7.175342465753425
MDEwOlJlcG9zaXRvcnkxMjI4Nzk1Nw==,42781ed0-58d4-4a1d-866d-b4fa572c095e,zhiyuncloud/aixuexiao,https://github.com/zhiyuncloud/aixuexiao,2013-08-22T03:56:32Z,234,0,10.07945205479452
MDEwOlJlcG9zaXRvcnkyNDc3ODU5Ng==,c23f3bfd-3f39-4214-8885-ef8468a77ea3,googlearchive/android-BluetoothChat,https://github.com/googlearchive/android-BluetoothChat,2014-10-04T01:13:56Z,987,0,8.961643835616439
MDEwOlJlcG9zaXRvcnk1ODIwODY5Mw==,01cfec68-fc51-41cc-b27b-235d1602aad4,eclipse/milo,https://github.com/eclipse/milo,2016-05-06T13:20:04Z,986,0,7.372602739726028
MDEwOlJlcG9zaXRvcnk3MzIxNDgw,a73584a9-7149-475a-860a-a7a13b077ef3,lucasr/smoothie,https://github.com/lucasr/smoothie,2012-12-25T23:54:26Z,985,0,10.734246575342466
MDEwOlJlcG9zaXRvcnkzMzAzMTQ3NDA=,ad595514-def1-4162-87d3-d9d11138a13b,MultiPaper/MultiPaper,https://github.com/MultiPaper/MultiPaper,2021-01-17T04:36:02Z,985,16,2.6684931506849314
MDEwOlJlcG9zaXRvcnkxMDE0NjQ3MjA=,4901a624-4fd8-4250-84ad-3fc77323a6b2,gongwen/SwipeBackLayout,https://github.com/gongwen/SwipeBackLayout,2017-08-26T05:26:47Z,982,0,6.065753424657534
MDEwOlJlcG9zaXRvcnk5MjE2OTI0Mg==,3b700ba5-f902-4857-9ba3-258a34b61276,DuanJiaNing/Musicoco,https://github.com/DuanJiaNing/Musicoco,2017-05-23T12:16:05Z,982,0,6.326027397260274
MDEwOlJlcG9zaXRvcnk4MzU4MzgzMg==,7e5fb2f5-75d9-419c-9f49-30ff64c12563,TeamNewPipe/NewPipeExtractor,https://github.com/TeamNewPipe/NewPipeExtractor,2017-03-01T17:50:17Z,982,65,6.553424657534246
MDEwOlJlcG9zaXRvcnkyNTI0NTk4NTQ=,2068902e-2047-4a23-aa09-4bbe8c7c332d,Endava/cats,https://github.com/Endava/cats,2020-04-02T13:14:39Z,981,60,3.463013698630137
R_kgDOGVzYhQ,35d9a9d9-dcb5-4f5c-9eab-2d10aace781d,pen4uin/java-security-notes,https://github.com/pen4uin/java-security-notes,2021-11-07T13:46:32Z,979,0,1.8630136986301369
MDEwOlJlcG9zaXRvcnkyMzA2MDk1MDc=,3abd99a4-a1a2-44a1-bbbd-5730506f9745,mollyim/mollyim-android,https://github.com/mollyim/mollyim-android,2019-12-28T12:50:31Z,977,71,3.7260273972602738
MDEwOlJlcG9zaXRvcnkxMDc5NjE1NzA=,6a601f91-2e91-456a-ac70-18bce667b42f,Tencent/RapidView,https://github.com/Tencent/RapidView,2017-10-23T09:39:08Z,976,0,5.906849315068493
MDEwOlJlcG9zaXRvcnk2MzIxODI1OA==,bee7664f-4e76-48ba-8a0e-d1e9d73c8f87,qifengdeqingchen/SeatTable,https://github.com/qifengdeqingchen/SeatTable,2016-07-13T05:51:16Z,974,0,7.186301369863013
MDEwOlJlcG9zaXRvcnk0MDc4NzE0,76dd6b92-bb5b-4b76-bc0a-f11f2f891ef4,0x-2a/Intellij-Colors-Sublime-Monokai,https://github.com/0x-2a/Intellij-Colors-Sublime-Monokai,2012-04-19T18:29:49Z,974,0,11.421917808219176
MDEwOlJlcG9zaXRvcnkxMjMwNTQxNDc=,ae6a3633-ee7a-4aee-b773-8d69b9894e98,LiangLuDev/WeYueReader,https://github.com/LiangLuDev/WeYueReader,2018-02-27T01:24:29Z,974,0,5.558904109589041
MDEwOlJlcG9zaXRvcnk1MTkzMTYwOA==,3bb30c7c-f16a-4c3f-81c3-490a8657f1ee,Chion82/WeChatMomentStat-Android,https://github.com/Chion82/WeChatMomentStat-Android,2016-02-17T15:15:34Z,971,2,7.589041095890411
MDEwOlJlcG9zaXRvcnkxNDI0MTAzMzE=,8640d42b-f8a6-4e6b-bdac-57bc315af6a6,logicalclocks/hopsworks,https://github.com/logicalclocks/hopsworks,2018-07-26T08:13:34Z,966,23,5.1506849315068495
MDEwOlJlcG9zaXRvcnk2MDYzNjE3,7523e3ee-2d44-410a-92c9-d9b396b7587b,wildabeast/BarcodeScanner,https://github.com/wildabeast/BarcodeScanner,2012-10-03T17:15:59Z,966,0,10.964383561643835
