id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2023-09-06T18:38:49Z,,0,98,42,18,2204,0.7269444444444444,0.42857142857142855
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,2015-03-18T21:06:26Z,2023-09-06T19:04:43Z,HTML,0,2269,0,0,3093,0.29527777777777775,0.0
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,sveltejs/svelte,https://github.com/sveltejs/svelte,2016-11-20T18:13:05Z,2023-09-06T17:11:44Z,JavaScript,13,2900,5254,4463,2481,2.1783333333333332,0.8494480395888847
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,tonsky/FiraCode,https://github.com/tonsky/FiraCode,2014-11-11T19:32:38Z,2023-09-06T16:15:45Z,Clojure,29,131,1283,921,3220,3.111388888888889,0.7178487918939984
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,2023-09-06T17:31:32Z,JavaScript,52,198,19020,13624,4219,1.8483333333333334,0.7162986330178759
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2023-09-06T18:43:43Z,HTML,213,1834,2974,2972,2161,0.6452777777777777,0.9993275050437121
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,fatedier/frp,https://github.com/fatedier/frp,2015-12-21T15:24:59Z,2023-09-06T18:07:52Z,Go,84,483,2872,2795,2816,1.2427777777777778,0.9731894150417827
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,2023-09-06T17:18:04Z,Java,1,75,141,138,1796,2.0727777777777776,0.9787234042553191
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin-gonic/gin,https://github.com/gin-gonic/gin,2014-06-16T23:57:25Z,2023-09-06T19:05:33Z,Go,25,941,2075,1534,3368,0.2813888888888889,0.739277108433735
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43Z,2023-09-06T18:46:31Z,C++,43,13240,7571,7222,4644,0.5986111111111111,0.953903051116101
